Team,Rank,ensembl_gene_id,hgnc_symbol,Target_Choice_Justification,Predicted_Therapeutic_Direction,Data_used_to_support_target_selection,data_synapseID
Mayo-UFL-ISB,1,ENSG00000110324,IL10RA,Reducing this molecules signaling has beneficial effects in models of AD pathologies. Genetic data supports therapies aimed at increasing activation of the immune system in the AD brain. Blocking Il10 signaling acheives this in the brain.,Antagonism predicted to reduce disease progression.,Antagonism of Il10 signaling via KO or sIL10Ra expression decrease amyoid pathologies. Tau studies are underway. Receptor is abundant and expression inceased in AD brain.,syn17008061
Mayo-UFL-ISB,2,ENSG00000136634,IL10,Reducing this molecules signaling has beneficial effects in models of AD pathologies. Genetic data supports therapies aimed at increasing activation of the immune system in the AD brain. Blocking Il10 signaling acheives this in the brain.,Antagonism predicted to reduce disease progression.,"Increased Il10 increase amyloid and tau pathologies. Little Il10 expressed in brain, but receptor is abundant.",syn17008061
Mayo-UFL-ISB,3,ENSG00000187554,TLR5,TLR5 binds amyloid and is impicated in immune pathways in AD. Soluble TLR5 dramatically alters amyloid load in the brain.,Agonism predicted to reduce disease progression.,sTLR5 is validated by modeling studies as a novel therapeutic for AD,syn17008061
Mayo-UFL-ISB,4,ENSG00000147571,CRH,CRH is key central signal coordinating psychological stress reponse. CRH increases amyloid deposition. Stress has been implciated as a risk factor for AD.,Antagonism predicted to reduce disease progression.,CRHR1 may be implicated by genetics. CRH up in early stages of AD down at end stage. Modeling studies show stress and CRH may promote AD pathologies.,syn17008061
Mayo-UFL-ISB,5,ENSG00000169245,CXCL10,An immune activating molecule. Decreased amyloid in mouse models without negative effects,Agonism predicted to reduce disease progression.,Decrease amyloid in APP mice with no appreant side effects. Up in AD and early AD. Part of immune module.,syn17008061
Mayo-UFL-ISB,6,ENSG00000095970,TREM2,Partial loss of TREM2 function is implicated as a genetic risk for AD. Restoring TREM2 function is a logical approach to treat AD.,Agonism predicted to reduce disease progression.,"We have performed binding and functional studies to support partial loss of TREM2 function. Genetics, systems and modeling data all point towards TREM2 as a key immune regulator in AD.",syn17008061
Mayo-UFL-ISB,7,ENSG00000168918,INPP5D,A key regulator of inhibitory immune signaling. Druggable. Implicated by genetics in AD.,Antagonism predicted to reduce disease progression.,A logical target to disinhibit immune activatin in the brain. We are not pursuing directly. Given tools in pharma a great target for them.,syn17008061
Mayo-UFL-ISB,8,ENSG00000158869,FCERG1,An activating immune receptor. Again another entry point to activate the immune system.,Agonism predicted to reduce disease progression.,"RNAseq and network analysis. Expression of IgE Fc is being evaluated to test this as a target. An ITAM receptor, so more directly manipulable than TREM2.",syn17008061
Mayo-UFL-ISB,9,ENSG00000150337,FCGR1A,An activating immune receptor. Again another entry point to activate the immune system.,Agonism predicted to reduce disease progression.,"RNAseq and network analysis. Expression of IgG activating Fc domains is being evaluated to test this as a target. An ITAM receptor, so more direclty manipulable than TREM2.",syn17008061
Mayo-UFL-ISB,10,ENSG00000184371,CSF1,"A key trophic, differentiation and maintenance molecule for microglial cells in the brain, again another entry point into the immune system",Agonism predicted to reduce disease progression.,CSF1 overexpression is being evlauted in APP mice. Key signaling molecule in microglial module.,syn17008061
Mayo-UFL-ISB,11,ENSG00000182578,CSFR1,An activating immune receptor. Again another entry point to activate the immune system.,Agonism predicted to reduce disease progression.,CSFR1 decoy receptor is being evlauted in APP mice. Key signaling molecule in micorglial modules.,syn17008061
Mayo-UFL-ISB,12,ENSG00000105329,TGFB1,A key regulator of both immune function and other functions in the brain. Conflicting data as to its role harmful or beneficial.,Unknown.,Large perutbations in TGFB family in AD. Previously shown to modulate amyloid pathology. Confirmatory studies in APP mice.,syn17008061
Mayo-UFL-ISB,13,ENSG00000163513,TGFBR2,A key receptor for TGFbeta family members in the brain. Thus a regulator of both immune function and other functions in the brain. Conflicting data as to its role harmful or beneficial.,Unknown.,Large perturbations in TGFB family in AD. Previously shown to modulate amyloid pathology. Confirmatory studies in APP mice.,syn17008061
Mayo-UFL-ISB,14,ENSG00000110492,MDK,A growth factor that accumulates in plaques in mice and humans.,Unknown.,APP mouse proteomic data and IHC implicates as a key plaque associted protein in both human and mice. Overexpression and Antagonism studies being launched.,syn17008061
Mayo-UFL-ISB,15,ENSG00000197943,PLCG2,"Genetic Studies show that variants of this enzyme, which is thought to play a role in activation of the immune system, reduce the risk of developing AD. This means activating the normal enzyme might have therapeutic benefit in AD.",Agonism predicted to reduce disease progression.,Increased expression in AD brain.Genetic variant associted with decreased risk for AD by IGAP. Enzyme assays reveal variant is a slight hypermorph. RNAseq confirms micorglia expression. PLCG2 KO APP corsses are being evaluated.,syn17008061
