node1	node2
TAP1	TAP2
TAP1	ENSG00000250264
TAP1	CALR
TAP1	STX4
TAP1	TAPBP
TAP1	PSMB9
TAP1	PSMB8
UBL7	ZYX
TAP2	CALR
TAP2	STX4
TAP2	TAPBP
TAP2	PSMB9
TAP2	PSMB8
TAP2	PPYR1
ESPN	MYO3A
ESPN	LRRC16A
ESPN	FSCN1
ESPN	MYO1A
ESPN	CD2AP
SSFA2	COBL
C1orf162	MS4A6A
MOCS3	UBE2J1
MOCS3	UBE2E1
MOCS3	UBE2B
MOCS3	UBE2NL
MOCS3	UBE2L6
MOCS3	UBC-16
MOCS3	UBE2U
MOCS3	CLASRP
MOCS3	UBE2W
MOCS3	GPHN
POGLUT1	NOTCH4
CD226	TIGIT
CD226	PVR
CD226	PVRL2
CD226	ULBP1
GAPVD1	FNBP1
GAPVD1	SNAP91
GAPVD1	DAB2
GAPVD1	SNX18
GAPVD1	HIP1
GAPVD1	SH3GL3
GAPVD1	HIP1R
GAPVD1	EPS15
GAPVD1	APOB
GAPVD1	TFRC
GAPVD1	BIN1
GAPVD1	ITSN2
GAPVD1	REPS1
GAPVD1	REPS2
GAPVD1	SYT11
GAPVD1	TF
GAPVD1	RAB5A
GAPVD1	RAB5C
GAPVD1	RAB5B
GAPVD1	AMPH
GAPVD1	EPN2
GAPVD1	LDLR
GAPVD1	SYT8
GAPVD1	VAMP3
GAPVD1	VAMP4
GAPVD1	VAMP7
GAPVD1	SLC2A8
GAPVD1	VAMP8
GAPVD1	AAK1
GAPVD1	CBL
GAPVD1	SGIP1
GAPVD1	STON2
GAPVD1	LDLRAP1
GAPVD1	PICALM
BLOC1S3	RAB5C
BLOC1S3	VAMP7
BLOC1S3	VAMP8
BLOC1S3	TFRC
BLOC1S3	PICALM
BLOC1S3	HIP1R
CDC73	TLE1
CDC73	ERCC3
CDC73	RNF20
CDC73	POLR2E
CDC73	CDK9
CDC73	AP3D1
CDC73	RNF40
CDC73	ERCC2
PIK3CA	GPR17
PIK3CA	EPHB2
PIK3CA	HCST
PIK3CA	NFKBIA
PIK3CA	GAB2
PIK3CA	SAA1
PIK3CA	PTK2B
PIK3CA	EPHB1
PIK3CA	REL
PIK3CA	TREM2
PIK3CA	ABL1
PIK3CA	MS4A2
PIK3CA	ZYX
PIK3CA	FLT1
PIK3CA	FCER1G
PIK3CA	FCER1A
PIK3CA	INPPL1
PIK3CA	FYN
PIK3CA	PVRL3
PIK3CA	PIK3R1
PIK3CA	CDH1
PIK3CA	NFKB1
PIK3CA	TNS1
PIK3CA	GNGT2
PIK3CA	IL3
PIK3CA	CBLC
PIK3CA	CBLB
PIK3CA	KLRC2
PIK3CA	EPHB4
PIK3CA	INPP5D
PIK3CA	KLRK1
PIK3CA	PTPN11
PIK3CA	CBL
PIK3CA	CD2AP
PIK3CA	VLDLR
PIK3CA	ITGAM
PIK3CA	FGF22
PIK3CA	VAV3
PIK3CA	CD19
CKB	CKM
CKB	GAMT
CKB	ASB9
CKB	TPM1
PILRB	KLRG1
PILRB	LAIR1
APBB3	APLP2
CD68	ITGAX
CD68	CD163
CD68	C5orf20
CD68	ITGAM
DMPK	CNBP
DMPK	HSPB2
DMPK	CELF1
DMPK	PLN
RNF111	CBLB
RNF111	ERCC3
RNF111	CDC16
RNF111	UBE2J1
RNF111	STUB1
RNF111	ERCC2
RNF111	ASB9
RNF111	UBE2E1
RNF111	UBE2L6
RNF111	UBE2B
RNF111	UBE2V1
RNF111	UBE2V2
RNF111	UBE2U
RNF111	TRIM4
CAMTA2	FAM192A
CAMTA2	NPPA
IFNA10	ANXA11
IFNA10	PTPN11
CBLC	CBLB
CBLC	CSF1R
CBLC	FYN
CBLC	SH3GLB2
CBLC	SH2B2
CBLC	CBL
CBLC	ABL1
CBLC	SH3GL3
CBLC	FLT1
CBLB	UBE2J1
CBLB	CSF1R
CBLB	UBE2L6
CBLB	ABL1
CBLB	MS4A2
CBLB	SH3GL3
CBLB	FLT1
CBLB	FCER1G
CBLB	CDC16
CBLB	STUB1
CBLB	ASB9
CBLB	FYN
CBLB	PIK3R1
CBLB	UBE2E1
CBLB	SH3GLB2
CBLB	SH2B2
CBLB	UBE2V1
CBLB	UBE2V2
CBLB	UBE2B
CBLB	CBL
CBLB	FCER1A
CBLB	UBE2U
CBLB	TRIM4
CBLB	CD19
NPR3	NPPC
NPR3	NPPA
SLC38A1	PBX2
SLC38A1	SLC38A2
LARP7	SART3
LARP7	CDK9
LARP7	MEPCE
LARP7	HEXIM1
PPP2R2D	ARPP19
PPP2R2D	ENSA
PPP2R2D	MINK1
AP5M1	AP3B2
AP5M1	AP5Z1
AP5M1	SYNRG
AP5M1	AP3M2
AP5M1	SGIP1
AP5M1	AP3S2
AP5M1	AP5S1
AP5M1	AFTPH
AP5M1	AP4M1
GIF	TCN1
GIF	AMN
MS4A4A	MS4A6E
MS4A4E	MS4A6A
MS4A4E	MS4A10
MS4A4E	MS4A6E
MS4A4E	MS4A8B
SNAP91	FNBP1
SNAP91	ITSN2
SNAP91	FCHO2
SNAP91	FCHO1
SNAP91	DAB2
SNAP91	SNX18
SNAP91	HIP1
SNAP91	SH3GL3
SNAP91	HIP1R
SNAP91	APOB
SNAP91	TFRC
SNAP91	BIN1
SNAP91	RAB5B
SNAP91	REPS1
SNAP91	REPS2
SNAP91	SYT11
SNAP91	TF
SNAP91	RAB5A
SNAP91	RAB5C
SNAP91	EPS15
SNAP91	AMPH
SNAP91	EPN2
SNAP91	LDLR
SNAP91	EPS15L1
SNAP91	SYT8
SNAP91	VAMP3
SNAP91	VAMP4
SNAP91	VAMP7
SNAP91	SLC2A8
SNAP91	VAMP8
SNAP91	AAK1
SNAP91	CBL
SNAP91	SGIP1
SNAP91	STON2
SNAP91	LDLRAP1
SNAP91	PICALM
AP5S1	AP5Z1
AP5S1	SYNRG
AP5S1	AFTPH
AP5S1	AP3S2
AP5S1	AP3M2
AP5S1	SGIP1
AP5S1	AP4M1
GRB10	COBL
GRB10	DOK1
GRB10	EPHB1
GRB10	GIGYF1
GRB10	GIGYF2
ENSG00000251246	EPHB2
ENSG00000251246	EPHB3
ENSG00000251246	EPHB1
ENSG00000251246	EPHB6
ENSG00000251246	EPHB4
ENSG00000251246	EPHA8
ENSG00000251246	EPHA7
ENSG00000251246	CSF1R
ENSG00000251246	EPHA5
ENSG00000251246	FYN
ENSG00000251246	EPHA1
ENSG00000251246	EPHA6
ENSG00000251246	EPHA10
ENSG00000251246	FLT1
CD33	IL3
CD33	PTPN11
CD33	ITGAM
CD33	SLAMF1
CD33	CD19
PLTP	APOE
PLTP	APOB
PLTP	LPA
PLTP	APOA2
PLTP	APOA1
COLEC10	MASP1
COLEC10	C2
COLEC10	C4A
COLEC10	C4B
COLEC10	COLEC11
COLEC11	MASP1
COLEC11	C2
COLEC11	C4A
COLEC11	C4B
KLC3	NFKB2
KLC3	SLC35E4
KLC3	KTN1
KLC3	KIF1C
C10orf25	TRMT1
SAP25	SIN3B
SAP25	SIN3A
MYO3A	LRRC16A
MYO3A	MYO1A
MYO3A	CD2AP
MMP10	CTRB2
MMP10	CTRB1
RASL10B	NPPA
CDKN1C	PHLDA2
CDKN1C	MYOD1
CDKN1C	SLC22A18
CDKN1C	KCNQ1
CELF1	SLC6A11
UROS	HMBS
UROS	ALAD
UROS	CPOX
UROS	PPOX
UROS	UROD
UROS	FECH
ENSG00000244255	C3
ENSG00000244255	CFB
UROD	HMBS
UROD	ALAD
UROD	CPOX
UROD	PPOX
UROD	FECH
APOA5	DSCAML1
APOA5	APOE
APOA5	APOB
APOA5	APOC2
APOA5	APOC3
APOA5	APOA4
APOA5	APOA1
APOA5	APOA2
PHLDA1	SLC22A18AS
CHKA	PCYT1A
CHKA	AGXT2L1
CHKA	PCYT1B
CHKA	CHAT
CHKA	CHKB-CPT1B
CHKA	PCYT2
CHKA	PHOSPHO1
CHKA	ACHE
CHKA	GPCPD1
APOA2	CETP
APOA2	LRP10
APOA2	LRP12
APOA2	APOE
APOA2	APOB
APOA2	MTTP
APOA2	LRP8
APOA2	LRP1
APOA2	GPC2
APOA2	APOC2
APOA2	TF
APOA2	LDLR
APOA2	USF1
APOA2	APOC3
APOA2	APOC1
APOA2	APOA4
APOA2	ITIH2
APOA2	APOA1
APOA2	LPA
HIP1R	FNBP1
HIP1R	ITSN2
HIP1R	USP1
HIP1R	FCHO2
HIP1R	FCHO1
HIP1R	DAB2
HIP1R	SNX18
HIP1R	HIP1
HIP1R	SH3GL3
HIP1R	APOB
HIP1R	TFRC
HIP1R	BIN1
HIP1R	USP46
HIP1R	REPS1
HIP1R	REPS2
HIP1R	SYT11
HIP1R	TF
HIP1R	TATDN1
HIP1R	RAB5A
HIP1R	RAB5C
HIP1R	EPS15
HIP1R	AMPH
HIP1R	EPN2
HIP1R	USP38
HIP1R	LDLR
HIP1R	IRF2BP1
HIP1R	EPS15L1
HIP1R	USP35
HIP1R	SYT8
HIP1R	USP12
HIP1R	VAMP3
HIP1R	VAMP4
HIP1R	VAMP7
HIP1R	SLC2A8
HIP1R	VAMP8
HIP1R	RAB5B
HIP1R	AAK1
HIP1R	CBL
HIP1R	SGIP1
HIP1R	STON2
HIP1R	WIPF1
HIP1R	LDLRAP1
HIP1R	PICALM
APOF	CETP
APOF	APOB
TAPBP	ENSG00000250264
TAPBP	CALR
TAPBP	STX4
APOE	VLDLR
APOE	APOC2
APOE	APOC3
APOE	APOC1
APOE	APOA4
APOE	APOA1
APOE	MSR1
APOE	APOB
APOE	PSEN2
APOE	TF
APOE	LRP10
APOE	LRP12
APOE	CETP
APOE	LDLR
APOE	LPA
APOE	LRP1
APOE	LRP8
APOE	GPC2
APOE	LDLRAP1
APOE	CALR
APOB	FNBP1
APOB	ITSN2
APOB	VLDLR
APOB	APOC1
APOB	FCHO2
APOB	SAA1
APOB	APOC2
APOB	APOC3
APOB	APOA4
APOB	DAB2
APOB	SNX18
APOB	BIN1
APOB	APOA1
APOB	TFRC
APOB	GPC2
APOB	HIP1
APOB	RAB5B
APOB	REPS1
APOB	REPS2
APOB	SYT11
APOB	SH3GL3
APOB	APOBR
APOB	TF
APOB	COLEC12
APOB	MSR1
APOB	STON2
APOB	LRP10
APOB	LRP12
APOB	RAB5A
APOB	RAB5C
APOB	EPS15
APOB	AMPH
APOB	EPN2
APOB	LDLR
APOB	FCHO1
APOB	CETP
APOB	LRP8
APOB	LPA
APOB	SYT8
APOB	VAMP3
APOB	LRP1
APOB	VAMP4
APOB	VAMP7
APOB	SLC2A8
APOB	VAMP8
APOB	CALR
APOB	PTPN11
APOB	AAK1
APOB	CBL
APOB	SGIP1
APOB	MTTP
APOB	ITGAM
APOB	LDLRAP1
APOB	PICALM
WDR48	USP12
WDR48	USP1
WDR48	USP46
WDR48	USP38
WDR48	USP26
WDR48	DMWD
WDR48	USP35
PEPD	STK16
PEPD	APOC1
