,partition,partition_rank,zscore,seed_node
TAP1,0,11,3.0305639344300004,0.0
UBL7,1,4,2.07660615981,0.0
TAP2,0,11,6.85313352591,1.0
ESPN,2,14,3.4471667636900003,0.0
SSFA2,3,1,3.0867840052900006,0.0
LRRC16A,2,14,2.2770129398,0.0
MOCS3,1,4,2.3243754102,0.0
POGLUT1,4,8,2.79603512222,0.0
CD226,5,6,3.0983957335400003,0.0
GAPVD1,6,5,2.10622443754,0.0
BLOC1S3,6,5,4.80085293484,1.0
PILRA,3,1,6.935945478,1.0
PIK3CA,3,1,2.40015472812,0.0
RAB4A,6,5,3.0381759439700002,0.0
PVRL3,5,6,2.90390530709,0.0
APBB3,3,1,2.8767095553299997,0.0
DMPK,8,12,5.07432658736,1.0
RNF111,1,4,14.428899010999999,1.0
CEACAM5,9,15,2.07412487342,0.0
IFNA10,5,6,2.037960632,0.0
CBLC,3,1,10.1172373282,1.0
CBLB,1,4,3.4843475965800006,0.0
SYMPK,7,2,2.90319086508,0.0
SLC38A1,7,2,2.88782307976,0.0
LARP7,7,2,3.24527096441,0.0
PPP2R2D,11,20,2.411988889,0.0
FUT2,9,15,2.39776259302,0.0
KRT34,23,28,4.64713273997,0.0
GIF,13,7,3.42917317714,0.0
MS4A4A,14,18,4.0975235327699995,1.0
MS4A4E,14,18,3.6663387789099997,1.0
SNAP91,6,5,2.24814341123,0.0
AP5S1,12,13,2.00481995472,0.0
GRB10,3,1,4.31468170341,0.0
ENSG00000251246,4,8,2.0601293610599996,0.0
PLTP,13,7,2.04050988959,0.0
COLEC10,15,3,3.0743323284099997,0.0
COLEC11,15,3,3.0860528555199997,0.0
KLC3,0,11,5.92825429005,1.0
C10orf25,4,8,2.14032068303,0.0
SAP25,16,22,9.409049993430001,1.0
GPR17,15,3,13.524903979600001,1.0
MMP10,13,7,2.6085864410900004,0.0
RASL10B,10,9,2.5337476347799996,0.0
DIRAS2,17,50,2.10098094558,0.0
CDKN1C,1,4,2.51476712875,0.0
CELF1,8,12,3.2027813717,0.0
UROS,18,16,2.9470133015799997,0.0
ENSG00000244255,15,3,2.67718022571,0.0
UROD,18,16,2.4792452748700002,0.0
APOA5,13,7,2.98534577699,0.0
PHLDA1,1,4,5.02582567951,0.0
CHKA,19,10,3.26076749964,0.0
APOA2,13,7,5.906200371390001,1.0
HIP1R,6,5,3.2671126128900005,0.0
APOF,13,7,2.9523138907099997,0.0
TREML2,3,1,4.05381798488,0.0
APOE,13,7,5.7653345623300005,1.0
APOB,6,5,2.64514636752,0.0
WDR48,2,14,3.03680995374,0.0
PCYT1A,19,10,2.50238428435,0.0
PEPD,13,7,2.49444713328,0.0
TBC1D20,1,4,5.4333852147399995,0.0
SOBP,20,52,2.24761656114,0.0
C4A,15,3,3.5516355202900005,1.0
C4B,15,3,3.8928659443699996,1.0
TTL,8,12,3.55063357505,0.0
ZNF512,34,27,4.70558465329,0.0
GDF15,21,17,2.3818876423199997,0.0
HOXB8,7,2,2.87578110232,0.0
ZNF223,8,12,11.303542153199999,1.0
ZNF225,10,9,8.447750455,1.0
PRSS53,18,16,14.7111150082,1.0
RPH3AL,1,4,2.06303839599,0.0
HOXB3,7,2,3.57269228494,0.0
HOXB1,7,2,2.19239877039,0.0
HOXB7,7,2,2.8508699468,0.0
GPHN,8,12,2.1852844069099997,0.0
HOXB5,7,2,2.58107798104,0.0
NFASC,22,19,2.1447445582799998,0.0
EPS15L1,6,5,4.02560284829,0.0
CHST1,13,7,2.06549150932,0.0
LHX4,7,2,2.61377362416,0.0
CHST5,13,7,2.2270121595,0.0
ITGAX,3,1,6.33287873036,1.0
ERLIN1,1,4,2.09818092394,0.0
GZMM,15,3,2.54677473363,0.0
CDC73,7,2,2.3777578123,0.0
TCN1,13,7,4.1327574276,1.0
DNAJC2,7,2,2.93037474181,0.0
SGIP1,6,5,2.3066138871,0.0
GPX4,24,34,5.088136962709999,1.0
KIR2DL4,3,1,2.2843172770099995,0.0
RTFDC1,4,8,8.225568992789999,1.0
ZNF296,25,35,9.08614625229,1.0
C8orf34,7,2,2.60423980159,0.0
CD19,3,1,2.19005592058,0.0
CYP2J2,26,26,2.94652189595,0.0
KCNQ1,1,4,2.09305244126,0.0
TRAPPC2P1,27,31,2.0369559611200003,0.0
GIGYF1,3,1,8.24203314795,1.0
GIGYF2,3,1,4.29780132096,0.0
TLE1,7,2,2.62358551643,0.0
ST14,3,1,2.66605664797,0.0
AP3M2,12,13,2.03898537565,0.0
SLC2A10,12,13,3.5009299551599997,0.0
C6orf25,3,1,2.39765832285,0.0
AKAP13,23,28,2.3542720676299997,0.0
REL,0,11,3.7244728713999997,0.0
HS3ST2,13,7,2.2380074790999998,0.0
HMBS,18,16,2.90522764316,0.0
MDK,13,7,3.5746831520099995,0.0
ASPG,19,10,3.0981591218099997,0.0
HS3ST1,13,7,2.20580158895,0.0
FGF22,3,1,5.57072375895,1.0
OR2A7,28,53,15.2080322289,1.0
SIT1,3,1,3.04204970091,0.0
AP3D1,12,13,2.22260472422,0.0
S100A6,5,6,3.1041193734400006,0.0
PTPRCAP,40,47,2.0281048530000003,0.0
ENSA,11,20,3.2534268240400004,0.0
C1QBP,7,2,2.44986076767,0.0
C17orf80,29,25,3.1386642256700004,0.0
MASK-BP3,13,7,3.30166598578,0.0
CPOX,18,16,2.7011674444300002,0.0
LDLR,6,5,2.7398733878600003,0.0
SH2B2,1,4,3.43163042217,0.0
LASP1,1,4,2.8571594924699997,0.0
UBE2V1,1,4,2.64342579462,0.0
UBE2V2,1,4,2.58254878954,0.0
RNF20,1,4,3.2275255973299997,0.0
CYP2C9,26,26,2.03519256792,0.0
CYP2C8,26,26,2.54576807806,0.0
CRTAM,5,6,4.095339913919999,0.0
MEPCE,7,2,4.61849843356,1.0
TPCN2,30,24,3.28446338022,0.0
REPS1,6,5,2.24697481763,0.0
GTF2H2C,7,2,2.38271800835,0.0
FGL1,18,16,2.52504005896,0.0
GEMIN7,7,2,6.349299332059999,1.0
FGL2,18,16,4.31471144705,0.0
ABCA7,8,12,4.49037245171,1.0
CD97,15,3,2.03355448026,0.0
STXBP3,5,6,2.81414328505,0.0
LDLRAP1,6,5,2.6422855609,0.0
DAB2,6,5,2.11173906647,0.0
SPCS1,29,25,4.07715406405,0.0
CHKB-CPT1B,19,10,3.41171221334,0.0
IGSF1,7,2,2.9374175815499997,0.0
NPR3,10,9,2.15086564087,0.0
TNRC18,16,22,2.34567592521,0.0
C1orf63,10,9,3.36828641996,0.0
ZNF16,10,9,2.82351300535,0.0
BIN1,6,5,6.927672146739999,1.0
CPSF2,7,2,5.0681269357300005,0.0
BIN3,6,5,3.84530184111,0.0
BIN2,6,5,2.07844988578,0.0
EPS15,6,5,3.8731198469800003,0.0
MYOD1,1,4,2.15750212701,0.0
SNAP47,5,6,2.0524941210599996,0.0
CPSF3,7,2,5.209963274780001,0.0
SLC38A2,7,2,2.81121004013,0.0
MAB21L1,7,2,2.09311046412,0.0
MAB21L2,7,2,2.47669008938,0.0
CLIP2,8,12,5.57631241345,0.0
CLIP1,8,12,2.9219513384900004,0.0
GRIN3B,31,29,6.00994907422,1.0
PROP1,7,2,2.90472502887,0.0
STXBP5,5,6,2.2182659308000003,0.0
APOBR,13,7,4.7380855112999996,0.0
JAG2,4,8,2.2287404501,0.0
NUMBL,6,5,4.72018578645,0.0
SLC24A4,30,24,4.665489040440001,1.0
CD46,15,3,3.29245506268,0.0
SLC24A1,30,24,3.74790561449,0.0
